id,category,description,domain,patentability_score,commercial_potential,keystone_nodes,synergy_connections,execution_layers,phase_deployment,output_type
3036,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.74,0.73,,D1,QuASIM,1,prediction
3037,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.79,0.77,,D6;D1,QuASIM,1,simulation
3038,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.88,0.79,,D2;D6,QuASIM,1,model
3039,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.7,,D1;D11,QuASIM,1,analysis
3040,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.8,0.71,,D1,QuASIM,1,optimization
3041,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.85,0.84,,D2,QuASIM,1,design
3042,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.78,0.75,,D11;D1,QuASIM,1,prediction
3043,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.72,0.69,,D6,QuASIM,1,simulation
3044,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.89,0.93,,D6;D11,QuASIM,1,model
3045,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.75,0.76,,D11,QuASIM,1,analysis
3046,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.75,0.86,,D2;D11,QuASIM,1,optimization
3047,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.85,0.84,,D11,QuASIM,1,design
3048,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.94,0.73,,D11,QuASIM,1,prediction
3049,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.85,,D2,QuASIM,1,simulation
3050,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.92,0.78,,D1;D2,QuASIM,1,model
3051,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.77,0.79,,D1,QuASIM,1,analysis
3052,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.75,,D11,QuASIM,1,optimization
3053,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.87,0.9,,D1;D6,QuASIM,1,design
3054,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.8,0.82,,D1,QuASIM,1,prediction
3055,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.89,0.83,,D11,QuASIM,1,simulation
3056,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.77,0.91,,D11,QuASIM,1,model
3057,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.94,,D6,QuASIM,1,analysis
3058,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.94,0.8,,D1,QuASIM,1,optimization
3059,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.85,0.81,,D11,QuASIM,1,design
3060,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.94,0.91,,D2,QuASIM,1,prediction
3061,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.82,0.9,,D1,QuASIM,1,simulation
3062,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.75,0.86,,D1,QuASIM,1,model
3063,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.82,0.76,,D2,QuASIM,1,analysis
3064,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.81,0.74,,D6;D2,QuASIM,1,optimization
3065,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.76,0.7,,D6,QuASIM,1,design
3066,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.8,0.9,,D11,QuASIM,1,prediction
3067,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.74,0.74,,D11,QuASIM,1,simulation
3068,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.77,0.81,,D11,QuASIM,1,model
3069,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.79,0.76,,D2;D11,QuASIM,1,analysis
3070,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.72,0.7,,D6;D11,QuASIM,1,optimization
3071,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.94,0.71,,D2,QuASIM,1,design
3072,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.9,0.95,Multi-physics;Digital twins,D1,QuASIM,1,prediction
3073,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.77,0.73,,D2,QuASIM,1,simulation
3074,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.72,0.69,,D2,QuASIM,1,model
3075,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.8,0.71,,D6;D1,QuASIM,1,analysis
3076,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.86,0.92,,D6;D11,QuASIM,1,optimization
3077,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.86,0.86,,D2,QuASIM,1,design
3078,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.81,0.69,,D11,QuASIM,1,prediction
3079,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.83,0.79,,D6,QuASIM,1,simulation
3080,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.77,0.81,,D2;D6,QuASIM,1,model
3081,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.92,0.85,,D11,QuASIM,1,analysis
3082,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.86,0.7,,D6,QuASIM,1,optimization
3083,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.87,0.76,,D11;D2,QuASIM,1,design
3084,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.73,0.73,,D2,QuASIM,1,prediction
3085,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.73,0.88,,D6;D1,QuASIM,1,simulation
3086,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.82,0.8,,D2;D11,QuASIM,1,model
3087,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.73,0.68,,D2;D11,QuASIM,1,analysis
3088,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.79,0.9,,D1;D2,QuASIM,1,optimization
3089,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.79,0.71,,D6;D1,QuASIM,1,design
3090,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.75,0.82,,D2;D6,QuASIM,1,prediction
3091,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.87,0.94,,D1,QuASIM,1,simulation
3092,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.91,0.75,,D6;D11,QuASIM,1,model
3093,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.9,,D6;D1,QuASIM,1,analysis
3094,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.87,0.69,,D6;D1,QuASIM,1,optimization
3095,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.82,0.78,,D11,QuASIM,1,design
3096,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.85,0.86,,D1,QuASIM,1,prediction
3097,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.78,0.75,,D1,QuASIM,1,simulation
3098,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.73,,D11;D2,QuASIM,1,model
3099,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.76,0.93,,D11;D1,QuASIM,1,analysis
3100,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.91,0.72,,D6;D2,QuASIM,1,optimization
3101,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.86,0.93,,D2,QuASIM,1,design
3102,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.94,0.8,,D1,QuASIM,1,prediction
3103,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.95,0.7,,D11,QuASIM,1,simulation
3104,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.86,0.77,,D2,QuASIM,1,model
3105,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.85,0.72,,D6,QuASIM,1,analysis
3106,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.89,0.9,,D11;D2,QuASIM,1,optimization
3107,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.84,0.85,,D11;D6,QuASIM,1,design
3108,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.93,0.72,,D11;D1,QuASIM,1,prediction
3109,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.81,0.76,,D1,QuASIM,1,simulation
3110,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.79,0.9,,D2,QuASIM,1,model
3111,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.89,0.81,,D11,QuASIM,1,analysis
3112,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.72,,D1,QuASIM,1,optimization
3113,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.77,0.79,,D1,QuASIM,1,design
3114,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.94,0.71,,D6;D1,QuASIM,1,prediction
3115,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.73,0.74,,D1,QuASIM,1,simulation
3116,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.91,0.7,,D2;D6,QuASIM,1,model
3117,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.83,0.9,,D11,QuASIM,1,analysis
3118,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.93,0.69,,D11,QuASIM,1,optimization
3119,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.9,0.88,,D6,QuASIM,1,design
3120,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.78,0.87,,D2;D6,QuASIM,1,prediction
3121,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.85,0.85,,D2,QuASIM,1,simulation
3122,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.81,0.89,,D11,QuASIM,1,model
3123,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.9,0.88,,D2;D11,QuASIM,1,analysis
3124,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.81,0.71,,D11,QuASIM,1,optimization
3125,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.75,0.78,,D1,QuASIM,1,design
3126,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.92,0.7,,D2,QuASIM,1,prediction
3127,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.91,0.8,,D6;D2,QuASIM,1,simulation
3128,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.73,0.86,,D1;D11,QuASIM,1,model
3129,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.81,0.78,,D6,QuASIM,1,analysis
3130,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.89,0.88,,D6,QuASIM,1,optimization
3131,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.84,0.72,,D1;D2,QuASIM,1,design
3132,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.79,0.71,,D11,QuASIM,1,prediction
3133,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.86,0.92,,D1,QuASIM,1,simulation
3134,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.92,0.9,,D1;D6,QuASIM,1,model
3135,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.72,0.94,,D2,QuASIM,1,analysis
3136,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.89,0.79,,D11;D1,QuASIM,1,optimization
3137,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.82,0.72,,D1,QuASIM,1,design
3138,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.83,,D11,QuASIM,1,prediction
3139,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.92,0.74,,D1,QuASIM,1,simulation
3140,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.73,0.79,,D11,QuASIM,1,model
3141,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.81,0.72,,D1;D2,QuASIM,1,analysis
3142,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.89,,D1,QuASIM,1,optimization
3143,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.89,0.86,Multi-physics;Digital twins,D11,QuASIM,1,design
3144,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.91,0.73,,D1,QuASIM,1,prediction
3145,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.94,0.79,,D1,QuASIM,1,simulation
3146,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.79,0.73,,D1,QuASIM,1,model
3147,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.94,0.81,,D2;D6,QuASIM,1,analysis
3148,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.85,0.77,,D11,QuASIM,1,optimization
3149,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.87,0.89,,D2,QuASIM,1,design
3150,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.74,0.89,,D6,QuASIM,1,prediction
3151,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.8,0.77,,D2;D6,QuASIM,2,simulation
3152,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.85,0.84,,D11,QuASIM,2,model
3153,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.77,0.89,,D2,QuASIM,2,analysis
3154,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.89,0.78,,D2;D6,QuASIM,2,optimization
3155,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.91,0.81,,D6,QuASIM,2,design
3156,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.71,0.89,,D2;D1,QuASIM,2,prediction
3157,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.85,0.69,,D2;D6,QuASIM,2,simulation
3158,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.91,0.75,,D2;D6,QuASIM,2,model
3159,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.78,0.71,,D11,QuASIM,2,analysis
3160,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.89,0.84,,D6,QuASIM,2,optimization
3161,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.74,0.91,,D2,QuASIM,2,design
3162,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.9,0.81,,D6,QuASIM,2,prediction
3163,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.83,0.69,,D6,QuASIM,2,simulation
3164,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.75,0.85,,D11;D6,QuASIM,2,model
3165,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.72,0.88,,D6;D11,QuASIM,2,analysis
3166,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.83,0.9,,D6;D1,QuASIM,2,optimization
3167,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.7,,D1,QuASIM,2,design
3168,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.89,0.75,,D2;D11,QuASIM,2,prediction
3169,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.89,0.71,,D1;D11,QuASIM,2,simulation
3170,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.74,0.8,,D2,QuASIM,2,model
3171,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.85,0.7,,D2;D1,QuASIM,2,analysis
3172,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.85,0.91,,D11,QuASIM,2,optimization
3173,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.94,0.81,,D1,QuASIM,2,design
3174,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.76,0.88,,D6,QuASIM,2,prediction
3175,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.77,0.93,,D6,QuASIM,2,simulation
3176,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.84,0.71,,D6;D2,QuASIM,2,model
3177,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.82,0.74,,D1,QuASIM,2,analysis
3178,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.82,0.68,,D1,QuASIM,2,optimization
3179,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.8,0.92,,D11,QuASIM,2,design
3180,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.71,0.89,,D1,QuASIM,2,prediction
3181,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.91,0.92,,D6,QuASIM,2,simulation
3182,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.89,0.78,,D6,QuASIM,2,model
3183,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.76,0.92,,D2,QuASIM,2,analysis
3184,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.74,0.77,,D11,QuASIM,2,optimization
3185,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.76,0.91,,D1,QuASIM,2,design
3186,Multi-Physics Simulation,Coupled simulation of electromagnetic interactions using high-fidelity simulation approaches,D15,0.8,0.85,,D1,QuASIM,2,prediction
3187,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.84,0.69,,D2,QuASIM,2,simulation
3188,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.73,0.82,,D11;D2,QuASIM,2,model
3189,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.91,0.84,,D11;D1,QuASIM,2,analysis
3190,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.92,0.8,,D6,QuASIM,2,optimization
3191,Multi-Physics Simulation,Coupled simulation of thermal-mechanical interactions using high-fidelity simulation approaches,D15,0.9,0.85,,D11;D2,QuASIM,2,design
3192,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.79,0.89,,D1,QuASIM,2,prediction
3193,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.75,0.81,,D11,QuASIM,2,simulation
3194,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.81,0.78,,D1,QuASIM,2,model
3195,Surrogate Models,Surrogate Models simulation and optimization using high-fidelity simulation approaches,D15,0.78,0.72,,D2,QuASIM,2,analysis
3196,Multi-Physics Simulation,Coupled simulation of fluid-structure interactions using high-fidelity simulation approaches,D15,0.75,0.92,,D6;D1,QuASIM,2,optimization
3197,Digital Twins,Digital Twins simulation and optimization using high-fidelity simulation approaches,D15,0.92,0.83,,D1,QuASIM,2,design
3198,Real-Time Rendering,Real-Time Rendering simulation and optimization using high-fidelity simulation approaches,D15,0.86,0.77,,D1;D11,QuASIM,2,prediction
3199,CFD/FEA Integration,CFD/FEA Integration simulation and optimization using high-fidelity simulation approaches,D15,0.8,0.89,,D1;D11,QuASIM,2,simulation
