Trial,Enterprise_Value
330,-226052.01836915582
331,-224005.74095250905
332,-217678.90581048751
333,-207944.46630993276
334,-199534.22289684872
335,-198779.49361235247
336,-178150.22893277553
337,-173037.28665443722
338,-169470.95893144398
339,-163118.19578492982
340,-157197.0929559162
341,-145845.49789053842
342,-145837.80954375805
343,-144869.51627672056
344,-142052.29720713728
345,-138820.63343483934
346,-132267.46123789967
347,-127227.31514385271
348,-122496.6190470876
349,-121797.71828831354
350,-121477.65252304761
351,-119040.37003575105
352,-114745.57065182758
353,-109300.25799136724
354,-106140.15234396637
355,-94687.09831902976
356,-88693.16564342029
357,-85745.77350342454
358,-67110.31665437159
359,-66183.801441177
360,-64219.46930690887
361,-58481.972434470794
362,-51436.089986028834
363,-40949.72988747836
364,-26638.333909363737
365,-20191.379724213082
366,7204.301314586551
367,12131.652053136186
368,15783.665478814379
369,19356.11769528312
370,32389.621930997273
371,67060.63092516059
372,67801.51899498695
373,92543.8627387778
374,94321.83177257937
375,96715.7707299962
376,100121.42571880217
377,100754.16246922815
378,101590.49403728812
379,102037.17698100874
380,104820.42646510158
381,124503.24677748798
382,151895.14938712522
383,156886.8476706566
384,176622.06729839125
385,177272.2667655961
386,180523.28964295023
387,182470.1789883858
388,184062.08465399282
389,187003.57621075457
390,190630.9160954833
391,197905.3752800804
392,199685.83612671462
393,206448.1322451344
394,209996.18697615532
395,218474.90776574425
396,253450.29054729422
397,256105.0562290959
398,261887.87840136804
399,263192.0445413911
400,263529.328110727
401,263690.09223169
402,285656.52206721983
403,304676.21000754094
404,312494.9315908843
405,315037.3285648191
406,318641.891802981
407,322058.56312624965
408,322397.8669581781
409,324606.6539306459
410,327483.63376158633
411,327983.6947396385
412,333150.4853485216
413,333471.25093756296
414,334640.17982200277
415,339914.1268126943
416,353865.28410629474
417,397910.0258704581
418,399321.82687239227
419,399967.17532320553
420,422304.7069303095
421,422454.5036775099
422,426909.45090455736
423,429321.35028056
424,444839.01065358525
425,446663.0724184606
426,447635.85919424886
427,450791.3480040984
428,457612.75480877294
429,466188.3516344159
430,485914.2533816315
431,487266.87469908816
432,489797.595197385
433,493081.1010721541
434,501398.0828554105
435,509080.87915071024
436,511379.4366289306
437,520009.3204787032
438,541132.0463220594
439,546456.9946126533
440,549420.0693789732
441,550546.7419224515
442,555221.9955312387
443,558814.3654815769
444,561933.438706673
445,568496.1752498217
446,569463.1534977702
447,570677.5812372265
448,572165.0333653742
449,607910.3455383112
450,614211.3420339351
451,617682.2322938092
452,627699.5283474575
453,630513.3716772262
454,638188.189325249
455,640953.8179439532
456,642442.6416787719
457,649952.991469493
458,650983.8781919053
459,664008.6267735097
460,669664.927846144
461,671765.2722704202
462,684199.60642721
463,706135.3815097226
464,708565.5071411256
465,709763.4365398069
466,710547.5662098161
467,713703.7888648587
468,716946.7688684653
469,722094.3531987809
470,729021.2967021595
471,729791.2681026936
472,734262.2410199542
473,751302.9021060262
474,767071.6945396613
475,773651.321207637
476,780344.7610339243
477,788529.8285385048
478,789668.3570874031
479,794914.650501423
480,805804.3902800258
481,808065.7357555062
482,808308.7060459254
483,809988.8577091238
484,814410.6318090996
485,815913.519369036
486,823870.4545947356
487,825407.0679027606
488,827332.7352741268
489,844708.6131631077
490,856122.6130451679
491,858299.1870304736
492,860169.9775045675
493,866302.884558207
494,876028.1503156839
495,881733.8750751851
496,889716.7689039744
497,891989.954471899
498,892105.8878696298
499,895147.2461139567
500,898746.8979135252
501,900805.8983403714
502,901632.2714388224
503,910594.3977259276
504,913442.9957914914
505,918923.0218141614
506,921041.8533768215
507,923653.8542287487
508,929139.8477026462
509,929755.5754410641
510,933954.720335538
511,935800.8709951644
512,936416.4258547141
513,942711.5898105542
514,948147.4298054699
515,972581.5464004457
516,973152.3131693657
517,973630.7145760816
518,975791.1570287499
519,977128.2623731367
520,977973.4191801664
521,980509.8572490425
522,1000641.7270702445
523,1011144.1348821752
524,1011453.2430984597
525,1015183.7161870305
526,1018174.7331274209
527,1023328.0655963209
528,1024396.894191181
529,1030387.5383430744
530,1031828.2322032049
531,1039101.6418173884
532,1047670.4150831086
533,1064493.3094270579
534,1068816.354861294
535,1088729.262649214
536,1090902.3452163406
537,1091055.1908178572
538,1112416.592466834
539,1115060.7281702254
540,1115256.559994525
541,1127379.2740339525
542,1130710.3299932552
543,1135224.4467245233
544,1135474.8160764957
545,1144967.8834628738
546,1148213.0968579273
547,1152062.7303240767
548,1152990.9581984924
549,1154534.6420297145
550,1155788.6192308385
551,1163573.8907904923
552,1166200.6183578188
553,1170246.7313807309
554,1170858.8597854031
555,1173228.683784682
556,1175817.2115277227
557,1187244.3167556874
558,1192653.8761669328
559,1200580.793975464
560,1201591.2106819276
561,1218807.7006710488
562,1220865.8186379857
563,1240756.78728944
564,1241925.0044491459
565,1244228.4058009526
566,1251131.2362155928
567,1260154.8268900504
568,1261134.7728493388
569,1268745.5188491857
570,1269276.5893273312
571,1269798.6031757467
572,1270329.7267391756
573,1270554.512724055
574,1286884.444700841
575,1288352.9058795732
576,1288714.1786108234
577,1293469.0904147676
578,1294881.391585083
579,1304385.8777043566
580,1305509.1369590955
581,1310766.1162556245
582,1316932.687124896
583,1321571.1842676615
584,1321932.2927089485
585,1327538.2464913903
586,1337807.734113828
587,1338185.642696559
588,1341710.5698946137
589,1347708.062649799
590,1353686.9870307706
591,1353718.0008064325
592,1354043.333708195
593,1355112.0803587926
594,1360398.0325231059
595,1362758.3366216582
596,1363839.273445327
597,1366879.058366737
598,1373504.5776992738
599,1373628.1512569133
600,1374695.751073239
601,1389170.4463821705
602,1389582.087752566
603,1391908.7193740043
604,1392394.5227578217
605,1395847.1041132198
606,1397752.7546883342
607,1402271.4073986807
608,1404069.7873476516
609,1408321.6455438752
610,1413428.7913644908
611,1421811.156927485
612,1427601.1110438919
613,1432877.5584848993
614,1440630.9004634065
615,1441250.8378296923
616,1453207.9955267236
617,1453274.9473037305
618,1456031.7111104026
619,1457412.6113575846
620,1460880.546669527
621,1460925.770416151
622,1465899.5467706895
623,1468853.3135778508
624,1477149.0135183488
625,1485925.3002298262
626,1492308.4903640454
627,1500972.850140453
628,1502652.5054704398
629,1504215.7264000885
630,1507859.952003444
631,1508693.3701711604
632,1512698.408316745
633,1515470.7312584533
634,1516543.0495067223
635,1522699.7055233791
636,1525680.9688492478
637,1526331.7119379197
638,1533630.987274237
639,1538500.3093558666
640,1543551.2734641111
641,1551344.4544016728
642,1552048.0498112256
643,1553831.1348010204
644,1559489.2653444968
645,1561915.1880467017
646,1563350.3326968835
647,1573052.8610408157
648,1573075.9723462574
649,1576625.895404431
650,1578484.38955325
651,1593602.823397433
652,1594038.3102197282
653,1596619.4764074758
654,1600782.54955196
655,1601839.668342982
656,1604717.5615728563
657,1605143.1483109794
658,1605822.0012642038
659,1606546.9445422178
660,1606917.5607673037
661,1614423.0809014249
662,1614810.6101006998
663,1617285.9939281025
664,1623434.2335416481
665,1627482.0412566732
666,1630390.8824239126
667,1637092.8124448021
668,1639444.708852524
669,1640830.1565229215
670,1647538.809523396
671,1650228.7275162684
672,1650369.3744951866
673,1652417.101774701
674,1654179.8040690962
675,1654323.6578586309
676,1654740.064274001
677,1661656.4253493305
678,1663923.2988466416
679,1674769.0072794813
680,1681763.7605107855
681,1689509.4247522405
682,1693756.4136740232
683,1699795.3639717982
684,1702821.3723587948
685,1703575.2796597711
686,1706415.9700981744
687,1708131.7886533118
688,1708246.359576773
689,1710232.6595939887
690,1711848.0526702716
691,1716147.2952363007
692,1718888.1432076804
693,1728418.744156624
694,1733422.4896568754
695,1736963.131665808
696,1742778.4927953167
697,1753644.3866025894
698,1756037.2641095873
699,1772634.6302777918
700,1775386.9722600747
701,1782284.8053931077
702,1788086.9248730987
703,1790521.767655761
704,1791214.613187469
705,1793887.5031373664
706,1801617.2088129013
707,1802057.5597358847
708,1802932.2957635294
709,1810974.2510157921
710,1817117.4199513863
711,1829579.7001975623
712,1832702.7987542106
713,1836484.9876135332
714,1836955.9039695093
715,1837831.7419090657
716,1839836.9055776522
717,1848758.870239447
718,1848845.2912892534
719,1853331.4451184561
720,1856497.7465256914
721,1858318.6004027089
722,1863436.252436706
723,1864149.9774812134
724,1864541.466481777
725,1866743.8979811282
726,1884308.2556695417
727,1884536.1958126007
728,1884920.8713356191
729,1886580.9242304242
730,1888743.6898589428
731,1891361.3951075138
732,1892983.104059352
733,1895379.501782237
734,1896584.4024242908
735,1900055.3306286267
736,1906026.417694054
737,1918548.3273656897
738,1919297.2374412755
739,1932336.0222514137
740,1934108.8615568432
741,1935891.159863222
742,1940895.9873779614
743,1949569.0919063278
744,1950204.5554844271
745,1951388.3482812592
746,1954444.855231188
747,1959044.9609746523
748,1969931.195390955
749,1975127.8987499997
750,1975298.65327361
751,1975367.7579097848
752,1978823.4998338984
753,1979362.6490002295
754,1979859.303553445
755,1980959.0451227156
756,1992540.6785118696
757,1998115.4285321026
758,2000479.1931548202
759,2001922.275205396
760,2002298.8410858347
761,2003358.4440105306
762,2003927.525828342
763,2006069.307630752
764,2006243.1140110032
765,2008014.2815048988
766,2010188.9241892723
767,2018543.2376382612
768,2018717.9982852945
769,2027185.5112152512
770,2029254.4958319599
771,2034339.0782388179
772,2034614.6238820283
773,2040616.8251771121
774,2043301.1138546818
775,2046159.2673593056
776,2047863.5706516844
777,2048944.8590917583
778,2053632.6919879154
779,2054870.8045513474
780,2060385.2423495632
781,2063977.7598652355
782,2065536.2319168872
783,2067667.6060871382
784,2089645.974572
785,2090678.0623587123
786,2096409.4827483064
787,2100617.023117037
788,2103775.5686096605
789,2106809.0332762697
790,2108108.2388538136
791,2110297.5868731355
792,2113022.4477198245
793,2113111.7468501916
794,2115478.5822960185
795,2117025.049695409
796,2117206.429572326
797,2118462.4288960565
798,2125535.7712819185
799,2137828.320467076
800,2138863.3249507993
801,2145680.6452681804
802,2146977.767620145
803,2149587.4080900867
804,2149602.0869519953
805,2152020.2328393636
806,2152973.023765006
807,2157845.170869797
808,2158154.7182419547
809,2159313.586203873
810,2159847.73180146
811,2162775.5523163006
812,2164977.479406423
813,2165971.3675584276
814,2166751.95741013
815,2169522.4519687155
816,2171595.551494742
817,2172864.5996247176
818,2173308.86564731
819,2173569.8717881544
820,2178405.7468304867
821,2188479.9348435467
822,2189666.813795245
823,2191976.073610324
824,2192042.3864415167
825,2193062.7790189926
826,2197185.374857629
827,2201311.058726171
828,2211303.0320021654
829,2216859.007450804
830,2218151.9876568755
831,2223288.173428368
832,2228579.5969501566
833,2229778.8860054947
834,2233144.9625912197
835,2243887.112158261
836,2249216.697871367
837,2255270.4594656527
838,2260826.3242359804
839,2263060.7549908096
840,2264507.7208078885
841,2275940.593693711
842,2283119.004119463
843,2284852.1334475046
844,2286137.688100606
845,2292409.1838153885
846,2294534.432713768
847,2295780.2096178234
848,2296140.312785198
849,2297307.3342479644
850,2299389.384188718
851,2305389.232930075
852,2307926.6552186813
853,2308067.4980725734
854,2315439.951708082
855,2316283.306329256
856,2323834.3150983853
857,2327109.6489034453
858,2330659.8102552085
859,2332049.8136110185
860,2336882.565005429
861,2337162.6563185747
862,2337798.531761037
863,2338449.2186094886
864,2347762.833081699
865,2356465.353372054
866,2356798.230178262
867,2363196.4189599045
868,2365945.411013625
869,2367196.94582662
870,2367824.409139094
871,2369194.8263372686
872,2376098.1327306167
873,2376161.611745899
874,2376796.0321651897
875,2377361.002182419
876,2378697.2456883388
877,2380460.4848438404
878,2380633.365982395
879,2391577.146599843
880,2391587.8950875327
881,2392438.858739951
882,2393841.9235682613
883,2395400.752496114
884,2398087.686848063
885,2400108.2312420434
886,2405217.2940525105
887,2411956.9650680413
888,2414030.8039728566
889,2414594.017918088
890,2417223.5346107623
891,2420870.6306712385
892,2422602.854443756
893,2423829.5383818857
894,2425472.3455897346
895,2425991.751291695
896,2426006.732162891
897,2429196.7576057874
898,2441021.3034781814
899,2441812.9624889717
900,2442350.283452196
901,2442512.5787714226
902,2447649.144468995
903,2448185.4841353064
904,2469441.8652035054
905,2469817.3990881694
906,2469854.4427060024
907,2471916.7584296297
908,2474054.747879182
909,2475320.0653939573
910,2477618.2894037673
911,2478936.1264475393
912,2488940.1149693597
913,2493345.0846841084
914,2498157.748813656
915,2502124.487573908
916,2503142.72034358
917,2507255.7069170196
918,2513713.830032203
919,2516108.024293517
920,2532585.1102888146
921,2532857.6865689643
922,2539991.2719662227
923,2542014.701501955
924,2543485.7587835677
925,2544477.9114657436
926,2548216.060701631
927,2549920.285135718
928,2560547.1005300726
929,2561172.4153488018
930,2562309.7611048133
931,2562757.6325405035
932,2573838.451915858
933,2574019.6181348376
934,2578538.9979612404
935,2583957.8682309715
936,2588771.8815047448
937,2592427.5767568983
938,2597632.271562167
939,2599408.444248886
940,2602565.0970293037
941,2607881.5126370606
942,2608611.023413044
943,2608963.4231362417
944,2612756.8699317323
945,2619396.371682575
946,2620045.6289329715
947,2623028.6319381893
948,2623408.6512590763
949,2638336.6344335536
950,2639260.4892441854
951,2651280.003040667
952,2653359.711159678
953,2653736.8791997116
954,2656467.5976279443
955,2658871.6964601125
956,2661812.999142048
957,2662075.442498866
958,2668658.578026842
959,2673500.32446789
960,2680297.4013627553
961,2683412.302139064
962,2684847.288868532
963,2687284.4533320554
964,2688714.3487356603
965,2688902.5833100434
966,2690290.5085216686
967,2691595.8383547454
968,2695706.939465127
969,2696406.8045063294
970,2696945.8834267734
971,2702419.6989625227
972,2707514.0995328184
973,2713286.66216966
974,2714659.189017766
975,2714871.2550487597
976,2716777.183911564
977,2719260.3669013698
978,2720177.176791328
979,2724445.0748680523
980,2729130.6244158186
981,2731553.29834303
982,2732449.6513803406
983,2732903.5950055057
984,2733195.335072745
985,2733427.0956791937
986,2737643.3965455173
987,2742730.550738434
988,2744558.8475434477
989,2746520.0189474174
990,2748754.3803457613
991,2749496.3636246626
992,2756735.390264053
993,2758633.770525798
994,2761764.7547646477
995,2765107.691336682
996,2765891.6105029387
997,2774923.935567325
998,2776396.4113013092
999,2777605.7467204947
1000,2778960.196657381
1001,2782443.743913289
1002,2784222.9102739627
1003,2787011.3386441236
1004,2795437.255295987
1005,2797685.4063886795
1006,2799280.3556222618
1007,2799843.70860901
1008,2801358.251368296
1009,2803667.949764305
1010,2804395.1144131054
1011,2806553.9493919844
1012,2806882.2276397985
1013,2808729.02415069
1014,2810008.9945637686
1015,2810172.5935800644
1016,2813766.6696791165
1017,2820512.0211704634
1018,2826212.505516712
1019,2833038.0233636736
1020,2841974.8995707533
1021,2846376.035486699
1022,2847538.6564490623
1023,2848206.3831759626
1024,2849731.352511433
1025,2851319.8591668927
1026,2852347.859902662
1027,2852656.2545728395
1028,2854942.0712108733
1029,2857279.762701803
1030,2860479.740373682
1031,2862118.195700773
1032,2865303.9937725915
1033,2871205.6274740105
1034,2872195.867882371
1035,2874706.509766046
1036,2880230.596879917
1037,2883376.025310451
1038,2885915.0018952945
1039,2888855.815133281
1040,2890735.316269139
1041,2891189.9979071864
1042,2893261.6258917497
1043,2895088.197904514
1044,2896712.8923997767
1045,2899222.6290644202
1046,2900675.586232109
1047,2903874.565509895
1048,2905224.982728347
1049,2906034.262299885
1050,2909297.1284677004
1051,2915542.8071937375
1052,2916800.753401255
1053,2918834.9799229703
1054,2919900.0367860245
1055,2930180.323890865
1056,2935696.301665347
1057,2939554.64111777
1058,2946119.650662884
1059,2948777.3239561887
1060,2949901.5577957276
1061,2952721.1059739753
1062,2954799.4730577036
1063,2958558.8834553384
1064,2962527.0477075
1065,2963486.00693075
1066,2963894.5877776574
1067,2965866.8466967475
1068,2966634.160461251
1069,2967420.733197807
1070,2969476.064781212
1071,2972843.0215966706
1072,2976188.187122786
1073,2981069.7505722027
1074,2983999.8484515967
1075,2992108.4755928935
1076,2995962.4220908433
1077,2997051.8596227407
1078,2997068.6456803754
1079,2997231.9632611815
1080,2998964.5543274735
1081,2999727.6585941752
1082,3007598.471019158
1083,3012428.6634334666
1084,3017237.166039098
1085,3021244.7645332683
1086,3030442.659472477
1087,3034945.324131876
1088,3039064.54484108
1089,3053097.297923213
1090,3053412.2873116382
1091,3054191.5795093467
1092,3066120.8099391824
1093,3069799.13943042
1094,3070534.4008888663
1095,3072953.783272866
1096,3073463.2650471656
1097,3074063.156765349
1098,3075945.543629778
1099,3078630.3016683124
1100,3082933.07316804
1101,3083183.7667383086
1102,3086564.2890777797
1103,3091798.758533936
1104,3099314.1457063714
1105,3100456.213642954
1106,3100896.56219134
1107,3105673.7618615823
1108,3107398.099642274
1109,3116322.8126359507
1110,3118514.755440968
1111,3120071.8540377514
1112,3126170.8651849553
1113,3126271.7047091457
1114,3128909.02921302
1115,3129853.0549903484
1116,3134920.572883388
1117,3137398.295828712
1118,3140233.996622137
1119,3141582.807004429
1120,3142261.502485124
1121,3146001.975545709
1122,3150789.0994271142
1123,3152082.1098004123
1124,3154702.405127799
1125,3160399.34460737
1126,3165758.973309252
1127,3166077.5579683795
1128,3166529.741290264
1129,3168633.209070175
1130,3170378.913865147
1131,3170638.414351493
1132,3175120.772679844
1133,3177336.2662769184
1134,3178704.1366817094
1135,3178820.979974013
1136,3178995.922665152
1137,3182963.438779528
1138,3183533.9896343118
1139,3185257.4809947545
1140,3186492.601600196
1141,3190956.0116894026
1142,3193900.352138169
1143,3199837.9793532174
1144,3200302.1448647976
1145,3203170.820513718
1146,3203205.5516188303
1147,3203699.032601252
1148,3207787.341505903
1149,3208766.351654333
1150,3210219.058589805
1151,3211187.6442630133
1152,3212484.5852231286
1153,3216615.225171091
1154,3218127.161742055
1155,3220536.243364512
1156,3221531.2979818126
1157,3222085.6505058934
1158,3222298.2629503626
1159,3222502.4777535126
1160,3227900.175563582
1161,3228254.215184436
1162,3232832.83115584
1163,3233462.1211844264
1164,3243151.4470185726
1165,3249379.917411831
1166,3263714.978339972
1167,3265917.1422127
1168,3273247.6514954655
1169,3278143.724196273
1170,3278209.887376403
1171,3287427.572898295
1172,3289303.8126873523
1173,3290405.0579947983
1174,3291029.4178571245
1175,3292653.9976902567
1176,3293932.097768193
1177,3297358.5907739145
1178,3299308.584590497
1179,3300745.801662867
1180,3303226.9629139546
1181,3304105.865517024
1182,3308364.4097982235
1183,3312959.440129356
1184,3321600.710783404
1185,3327193.2446196154
1186,3327238.3017400773
1187,3327743.7678278536
1188,3329684.667253977
1189,3329992.4325248385
1190,3332217.100675968
1191,3332248.2022595396
1192,3333198.4845198975
1193,3333294.486325945
1194,3338136.3464553645
1195,3338583.024372906
1196,3341495.4494540095
1197,3344395.192227569
1198,3345612.3655861616
1199,3345901.3931179834
1200,3348684.7819458344
1201,3349769.4510892695
1202,3358251.7942016344
1203,3360127.803570858
1204,3360669.832970078
1205,3361155.3182747234
1206,3366603.194577886
1207,3369336.1349101523
1208,3374038.9566429383
1209,3374901.3519810513
1210,3375862.2481431547
1211,3378854.8655510577
1212,3380884.324447709
1213,3381405.212012667
1214,3382714.929659485
1215,3394738.45210917
1216,3396256.597040801
1217,3399451.3695234754
1218,3403714.5795361986
1219,3405743.2641144795
1220,3406729.264346952
1221,3409895.7742437795
1222,3417132.1470490205
1223,3419926.1219672197
1224,3423030.068313024
1225,3425114.607158726
1226,3425764.3606286785
1227,3428274.7080653235
1228,3430420.3656391273
1229,3430898.5644608266
1230,3431233.420747372
1231,3434271.5086100465
1232,3443409.024747464
1233,3444128.8196706236
1234,3444402.9643584685
1235,3446038.14553474
1236,3448986.9096993227
1237,3449681.8762809057
1238,3451999.7505943025
1239,3453641.5352694886
1240,3454707.6374365734
1241,3456466.702285949
1242,3458820.1367025943
1243,3459464.90516166
1244,3460714.8822408365
1245,3462224.4975376483
1246,3467491.69389781
1247,3469780.983072631
1248,3470628.6404370344
1249,3471597.4597480204
1250,3472007.3792470573
1251,3473287.0175649067
1252,3477278.132913295
1253,3485521.7497993973
1254,3485792.272916493
1255,3487771.952711926
1256,3490212.3595795166
1257,3490735.345090636
1258,3491672.303332514
1259,3494571.796436757
1260,3496811.148132186
1261,3497592.6318294285
1262,3501538.297015079
1263,3501797.6268530334
1264,3503357.5329739614
1265,3507858.8329500137
1266,3508546.783215317
1267,3509705.5644034063
1268,3511191.1179877156
1269,3511207.010614111
1270,3511940.3874997017
1271,3515439.7232518042
1272,3518186.5246824375
1273,3519505.8443186544
1274,3521131.289707616
1275,3524370.331075713
